question,received_answer,expected_answer,tema,flag_original,flag_synthetic,flag_typo_injected,flag_informal,latency,type,score,tool
A drogaria não quis reconhecer meus documentos em dia. Como devo proceder?,"Se a drogaria recusou seus documentos estando em dia para acessar benefícios do Programa Farmácia Popular, siga estes passos:

Solicite uma revisão da decisão diretamente na própria drogaria.
Caso não resolva, registre uma reclamação na Ouvidoria Geral do SUS pelo telefone um, três, seis.
Lembre-se: a farmácia deve aceitar documento oficial com foto e CPF, ou documento de identidade que contenha o CPF, além de receitas físicas ou eletrônicas que estejam dentro das normas legais.

Se precisar de mais orientações sobre o Programa Farmácia Popular ou sobre vacinação, estou à disposição para ajudar!","Se a farmácia se recusar a aceitar documentação válida prevista nas regras do Programa, você pode solicitar revisão da orientação no próprio estabelecimento e registrar reclamação na Ouvidoria-Geral do SUS. As orientações do programa informam que a farmácia deve aceitar documento oficial com foto e CPF, ou documento de identidade em que conste o CPF, e também reconhecem documentos e prescrições em formato físico ou eletrônico, conforme as exigências legais.","Denúncias, Reclamações e Segurança",0,1,0,0,17.32,factual_correctness(mode=f1),0.91,ragas
A farmácia alegou q meu médico n consta em seus registros. Como devo proceder?,"Quando a farmácia informa que o médico não consta em seus registros no Programa Farmácia Popular, o correto é:

O sistema do Programa Farmácia Popular valida automaticamente o CRM do médico (número de inscrição no Conselho Regional de Medicina).
Peça para a farmácia conferir se não está usando uma base de dados própria e desatualizada.
Caso o problema persista, oriente a farmácia a atualizar as informações ou entre em contato com o Ministério da Saúde para esclarecimentos.

Se precisar de mais informações sobre o Programa Farmácia Popular, vacinas ou o calendário vacinal, posso ajudar! Tem mais alguma dúvida?",O sistema valida o CRM (número da inscrição do médico no Conselho Regional de Medicina) automaticamente. Peça para a farmácia verificar se ela não está usando uma base de dados própria e desatualizada,Suporte ao Sistema Autorizador e Erros Técnicos,0,1,0,0,16.36,factual_correctness(mode=f1),0.67,ragas
A farmácia alegou que meu médico não consta em seus registros. Como devo proceder?,"Quando a farmácia informa que o médico não consta em seus registros no Programa Farmácia Popular, siga estes passos:

Peça para a farmácia conferir se o CRM (registro do médico) foi digitado corretamente.
Solicite que a farmácia verifique se está utilizando uma base de dados atualizada, pois o sistema valida o CRM automaticamente.
Caso o problema persista, oriente o médico a conferir a situação do seu registro junto ao Conselho Regional de Medicina.

Se precisar de mais informações sobre o Programa Farmácia Popular ou tiver dúvidas sobre vacinas, calendário vacinal ou benefícios oferecidos, posso ajudar! Deseja saber mais sobre algum desses temas?",O sistema valida o CRM (número da inscrição do médico no Conselho Regional de Medicina) automaticamente. Peça para a farmácia verificar se ela não está usando uma base de dados própria e desatualizada,Suporte ao Sistema Autorizador e Erros Técnicos,0,1,0,0,17.25,factual_correctness(mode=f1),0.43,ragas
A farmácia informou que meu médico não está cadastrado no sistema. O que fazer?,"Quando a farmácia informa que o médico não está cadastrado no sistema, normalmente o sistema valida automaticamente o CRM (número de inscrição do médico no Conselho Regional de Medicina).

Oriente a farmácia a conferir se não está utilizando uma base de dados própria e desatualizada. Caso o problema persista, o ideal é buscar orientação diretamente com o Ministério da Saúde ou solicitar ao médico que verifique a situação do seu registro.

Se precisar de mais informações sobre o Programa Farmácia Popular ou sobre vacinas, estou à disposição para ajudar! Gostaria de saber mais sobre algum desses temas?",O sistema valida o CRM (número da inscrição do médico no Conselho Regional de Medicina) automaticamente. Peça para a farmácia verificar se ela não está usando uma base de dados própria e desatualizada,Suporte ao Sistema Autorizador e Erros Técnicos,1,0,0,0,16.71,factual_correctness(mode=f1),0.55,ragas
A farmácia negou-se a validar meus documentos corretos. Que medidas posso tomar?,"Se a farmácia recusou validar seus documentos corretos para o Programa Farmácia Popular, siga estas orientações:

Solicite uma revisão da orientação diretamente no estabelecimento, explicando que seus documentos estão de acordo com as regras do Ministério da Saúde.
Caso a situação não seja resolvida, registre uma reclamação na Ouvidoria-Geral do SUS pelo telefone 136.

A farmácia deve aceitar documentos oficiais com foto e CPF, ou documentos de identidade que contenham o CPF, além de reconhecer prescrições em formato físico ou eletrônico, conforme as exigências legais.

Se precisar de mais informações sobre o Programa Farmácia Popular ou tiver dúvidas sobre vacinas, calendário vacinal ou benefícios, posso ajudar! Deseja saber mais sobre algum desses temas?","Se a farmácia se recusar a aceitar documentação válida prevista nas regras do Programa, você pode solicitar revisão da orientação no próprio estabelecimento e registrar reclamação na Ouvidoria-Geral do SUS. As orientações do programa informam que a farmácia deve aceitar documento oficial com foto e CPF, ou documento de identidade em que conste o CPF, e também reconhecem documentos e prescrições em formato físico ou eletrônico, conforme as exigências legais.","Denúncias, Reclamações e Segurança",0,1,0,0,15.47,factual_correctness(mode=f1),0.8,ragas
A farmácia pode ficar com a minha receita original?,"A farmácia não pode ficar com a sua receita original no Programa Farmácia Popular. Ela deve fazer uma cópia da receita e devolver o documento original para você.

Se precisar de mais informações sobre o Programa Farmácia Popular ou sobre vacinas e o Programa Nacional de Imunizações, posso ajudar! Tem mais alguma dúvida?",Não. A farmácia deve tirar cópias e devolver o original para você.,Regras para Prescrições e Receituários,1,0,0,0,13.71,factual_correctness(mode=f1),1.0,ragas
A farmácia pode se recusar a aceitar minha procuração?,"A farmácia pode recusar a aceitar sua procuração no Programa Farmácia Popular caso a documentação apresentada não esteja de acordo com as regras do programa. Isso significa que, se a procuração ou outros documentos não atenderem aos critérios exigidos, a retirada do benefício pode não ser autorizada.

Se você considerar que a recusa foi injustificada, é possível registrar uma reclamação na Ouvidoria do SUS pelo telefone 136.

Se precisar de mais informações sobre os documentos aceitos ou sobre o Programa Farmácia Popular, posso ajudar!","A farmácia deve conferir se a documentação apresentada atende às regras do Programa. Se houver recusa porque a procuração ou os demais documentos não atenderem aos requisitos exigidos, a retirada pode não ser autorizada. Se o cidadão entender que a recusa foi indevida, pode registrar reclamação na Ouvidoria-Geral do SUS, pelo telefone 136.",Dispensação por Terceiros,1,0,0,0,16.76,factual_correctness(mode=f1),0.88,ragas
A farmácia se recusou a aceitar meus documentos válidos. O que eu faço?,"Se a farmácia recusou seus documentos válidos para o Programa Farmácia Popular, siga estas orientações:

Solicite uma revisão da orientação diretamente no estabelecimento, explicando que seus documentos estão de acordo com as regras do Ministério da Saúde.
Caso a situação não seja resolvida, registre uma reclamação na Ouvidoria-Geral do SUS.

O Programa Farmácia Popular determina que a farmácia deve aceitar documentos oficiais com foto e CPF, ou documentos de identidade que contenham o CPF, além de reconhecer prescrições em formato físico ou eletrônico, conforme as exigências legais.

Se precisar de mais informações sobre o Programa Farmácia Popular ou sobre vacinas e o Programa Nacional de Imunizações, posso ajudar! Deseja saber mais sobre algum desses temas?","Se a farmácia se recusar a aceitar documentação válida prevista nas regras do Programa, você pode solicitar revisão da orientação no próprio estabelecimento e registrar reclamação na Ouvidoria-Geral do SUS. As orientações do programa informam que a farmácia deve aceitar documento oficial com foto e CPF, ou documento de identidade em que conste o CPF, e também reconhecem documentos e prescrições em formato físico ou eletrônico, conforme as exigências legais.","Denúncias, Reclamações e Segurança",1,0,0,0,17.13,factual_correctness(mode=f1),0.8,ragas
A farmácia tem autorização para guardar a receita original que me foi prescrita?,"A farmácia não tem autorização para ficar com a receita original que foi prescrita para você. O procedimento correto é que a farmácia faça uma cópia da receita e devolva o documento original para você.

Se precisar de mais informações sobre o Programa Farmácia Popular ou sobre vacinas e o Programa Nacional de Imunizações, posso ajudar! Tem mais alguma dúvida?",Não. A farmácia deve tirar cópias e devolver o original para você.,Regras para Prescrições e Receituários,0,1,0,0,14.18,factual_correctness(mode=f1),0.6,ragas
A farmácia tem o direito de não reconhecer minha procuração?,"A farmácia participante do Programa Farmácia Popular deve conferir se a documentação apresentada está de acordo com as regras do programa. Caso a procuração ou outros documentos não atendam aos critérios exigidos, a farmácia pode não autorizar a retirada dos medicamentos ou benefícios.

Se você acredita que a recusa foi injustificada, é possível registrar uma reclamação na Ouvidoria do SUS pelo telefone 136.

Se precisar de mais informações sobre documentos aceitos ou sobre o Programa Farmácia Popular, posso ajudar! Tem mais alguma dúvida?","A farmácia deve conferir se a documentação apresentada atende às regras do Programa. Se houver recusa porque a procuração ou os demais documentos não atenderem aos requisitos exigidos, a retirada pode não ser autorizada. Se o cidadão entender que a recusa foi indevida, pode registrar reclamação na Ouvidoria-Geral do SUS, pelo telefone 136.",Dispensação por Terceiros,0,1,0,0,15.02,factual_correctness(mode=f1),0.91,ragas
A higiene pode substituir a exigência de vacinação?,"A higiene é fundamental para prevenir várias doenças, mas não substitui a necessidade da vacinação.

Práticas como lavar as mãos e manter ambientes limpos ajudam a reduzir a transmissão de muitos agentes infecciosos, porém não são suficientes para evitar todas as doenças que as vacinas previnem.

As vacinas são desenvolvidas para estimular o sistema imunológico a proteger o organismo contra doenças específicas, muitas das quais não podem ser controladas apenas com medidas de higiene.

Por isso, o Ministério da Saúde, por meio do Programa Nacional de Imunizações, reforça que a vacinação é indispensável para a prevenção de diversas doenças e para evitar o retorno de enfermidades já controladas.

Se quiser saber mais sobre vacinas, calendário vacinal ou sobre o Programa Farmácia Popular, posso ajudar! Tem mais alguma dúvida?","Não. As vacinas são necessárias, assim como a higiene e o saneamento. As doenças que podem ser prevenidas por vacinas retornarão caso os programas de imunização sejam interrompidos. Uma melhor higiene, lavagem das mãos e uso de água limpa ajudam a proteger as pessoas de doenças infecciosas. Entretanto, muitas dessas infecções podem se espalhar, independente de quão limpos estamos.Mais informações no link <https://fiocruz.br/pergunta/uma-melhor-higiene-e-acesso-saneamento-basico-tornam-vacinas-desnecessarias>.",Informações Gerais,0,1,0,0,14.38,factual_correctness(mode=f1),0.63,ragas
A higiene substitui a necessidade de vacinas?,"A higiene não substitui a necessidade de vacinas. Práticas de higiene, como lavar as mãos e manter ambientes limpos, ajudam a prevenir várias doenças, mas não conseguem evitar todas as infecções.

As vacinas, oferecidas pelo Programa Nacional de Imunizações do Ministério da Saúde, são desenvolvidas para proteger contra doenças específicas que a higiene sozinha não consegue controlar. Por isso, manter a vacinação em dia é fundamental para evitar o retorno de doenças preveníveis por vacinas.

Se quiser saber mais sobre vacinas, calendário vacinal ou sobre o Programa Farmácia Popular, posso ajudar! Tem mais alguma dúvida?","Não. As vacinas são necessárias, assim como a higiene e o saneamento. As doenças que podem ser prevenidas por vacinas retornarão caso os programas de imunização sejam interrompidos. Uma melhor higiene, lavagem das mãos e uso de água limpa ajudam a proteger as pessoas de doenças infecciosas. Entretanto, muitas dessas infecções podem se espalhar, independente de quão limpos estamos.Mais informações no link <https://fiocruz.br/pergunta/uma-melhor-higiene-e-acesso-saneamento-basico-tornam-vacinas-desnecessarias>.",Informações Gerais,1,0,0,0,15.28,factual_correctness(mode=f1),0.71,ragas
A imunização contra a pólio apresenta riscos?,"A vacina contra a poliomielite, utilizada no Programa Nacional de Imunizações do Ministério da Saúde, é considerada muito segura e eficaz para proteger contra a doença.

Como qualquer vacina, podem ocorrer reações leves, como dor no local da aplicação ou febre baixa, mas eventos adversos graves são extremamente raros.

Se você tiver dúvidas sobre reações específicas ou quiser saber mais sobre o calendário vacinal, posso ajudar com mais informações. Gostaria de saber algo mais detalhado sobre a vacina da pólio ou outro tema relacionado à vacinação ou ao Programa Farmácia Popular?","Sim, a VIP é muito segura e eficaz para proteger contra a poliomielite.",Vacina inativada poliomielite (VIP),0,1,0,0,18.25,factual_correctness(mode=f1),0.44,ragas
A imunização contra o HPV estimula o começo antecipado da atividade sexual?,"Não, não existe nenhuma evidência de que a vacina contra o HPV estimule ou antecipe o início da atividade sexual entre adolescentes. A imunização é uma medida de prevenção em saúde, recomendada pelo Ministério da Saúde e pelo Programa Nacional de Imunizações para proteger contra doenças causadas pelo HPV.

Se quiser saber mais sobre a vacina do HPV, o calendário vacinal ou outros temas relacionados à vacinação e ao Programa Farmácia Popular, posso ajudar! Tem mais alguma dúvida?",Não. Não há nenhuma evidência de que a vacina mude o comportamento sexual dos adolescentes. Ela serve como medida de prevenção em saúde. Saiba mais no link Google Acadêmico <https://doi.org/10.1590/S0100-72032007001100006>.,Vacina HPV,0,1,0,0,14.29,factual_correctness(mode=f1),0.6,ragas
A imunização tem potencial para interferir no desenvolvimento cerebral da criança?,"A imunização das crianças não interfere no desenvolvimento cerebral. De acordo com comitês internacionais de segurança de vacinas, como o Global Advisory Committee on Vaccine Safety, não existe relação causal entre vacinas e distúrbios do desenvolvimento, como o transtorno do espectro autista.

As vacinas são rigorosamente testadas quanto à segurança e são fundamentais para proteger as crianças contra doenças graves.

Se quiser saber mais sobre a segurança das vacinas, reações ou detalhes do Programa Nacional de Imunizações do Ministério da Saúde, posso ajudar! Tem mais alguma dúvida?","A análise mais recente discutida pelo Comitê Consultivo Global sobre Segurança de Vacinas (GACVS), que reúne especialistas internacionais para aconselhamento científico à OMS, constatou com base nas evidências disponíveis, que não existe ligação causal entre vacinas e transtornos do espectro autista (TEA). A conclusão reafirma a posição da OMS de que vacinas infantis não causam autismo. Com base nas evidências apoiam fortemente o perfil positivo de segurança das vacinas usadas durante a infância e gravidez e confirmam a ausência de uma ligação causal com o TEA. O Comitê focou na relação entre vacinas contendo timerosal e o TEA e na associação entre vacinas em geral e TEA. Também, avaliou a revisão dos potenciais riscos à saúde associados a vacinas com adjuvantes de alumínio. Saiba mais nos links <https://www.who.int/news/item/11-12-2025-who-expert-group-s-new-analysis-reaffirms-there-is-no-link-between-vaccines-and-autism>; <https://www.gov.br/saude/pt-br/vacinacao>; <https://www.gov.br/saude/pt-br/assuntos/saude-com-ciencia/noticias/2024/abril/nao-existe-nenhuma-relacao-entre-vacinas-e-autismo>; <https://pmc.ncbi.nlm.nih.gov/articles/PMC2831678/>; <https://www.who.int/news/item/11-12-2025-who-expert-group-s-new-analysis-reaffirms-there-is-no-link-between-vaccines-and-autism>",Informações Gerais,0,1,0,0,15.15,factual_correctness(mode=f1),0.4,ragas
A insulina é disponibilizada de forma gratuita pelo programa?,"Sim, o Programa Farmácia Popular oferece insulina humana NPH e insulina humana regular de forma gratuita para o tratamento de diabetes, conforme o elenco oficial do Ministério da Saúde.

Se precisar de mais informações sobre outros medicamentos, vacinas ou benefícios do Programa Farmácia Popular, posso ajudar! Tem mais alguma dúvida?","Sim. O Programa oferece insulina humana NPH e insulina humana regular para o tratamento de diabetes, conforme o elenco oficial. ",Elenco de Medicamentos e Patologias,0,1,0,0,25.93,factual_correctness(mode=f1),0.5,ragas
A limpeza elimina a necessidade de imunizaçoãa por meio de vacinas?,"A limpeza e a higiene são fundamentais para prevenir várias doenças, mas não eliminam a necessidade de imunização por meio de vacinas.

Mesmo com práticas rigorosas de higiene, algumas doenças infecciosas continuam a circular e podem ser transmitidas de outras formas. As vacinas, oferecidas pelo Programa Nacional de Imunizações do Ministério da Saúde, são essenciais para proteger contra doenças específicas que não podem ser evitadas apenas com limpeza.

Se quiser saber mais sobre vacinas, calendário vacinal ou sobre o Programa Farmácia Popular, posso ajudar! Tem mais alguma dúvida?","Não. As vacinas são necessárias, assim como a higiene e o saneamento. As doenças que podem ser prevenidas por vacinas retornarão caso os programas de imunização sejam interrompidos. Uma melhor higiene, lavagem das mãos e uso de água limpa ajudam a proteger as pessoas de doenças infecciosas. Entretanto, muitas dessas infecções podem se espalhar, independente de quão limpos estamos.Mais informações no link <https://fiocruz.br/pergunta/uma-melhor-higiene-e-acesso-saneamento-basico-tornam-vacinas-desnecessarias>.",Informações Gerais,0,1,1,0,16.92,factual_correctness(mode=f1),0.75,ragas
A limpeza elimina a necessidade de imunização por meio de vacinas?,"A limpeza e a higiene são importantes para reduzir a transmissão de doenças, mas não substituem a necessidade de imunização por meio de vacinas.

Mesmo com práticas rigorosas de higiene, algumas doenças podem ser transmitidas de formas que a limpeza não consegue evitar. As vacinas, oferecidas pelo Programa Nacional de Imunizações do Ministério da Saúde, são essenciais para proteger contra doenças específicas e evitar surtos.

Portanto, manter a vacinação em dia é fundamental para garantir a proteção individual e coletiva, independentemente das condições de limpeza.

Se quiser saber mais sobre vacinas, calendário vacinal ou sobre o Programa Farmácia Popular, posso ajudar! Tem mais alguma dúvida?","Não. As vacinas são necessárias, assim como a higiene e o saneamento. As doenças que podem ser prevenidas por vacinas retornarão caso os programas de imunização sejam interrompidos. Uma melhor higiene, lavagem das mãos e uso de água limpa ajudam a proteger as pessoas de doenças infecciosas. Entretanto, muitas dessas infecções podem se espalhar, independente de quão limpos estamos.Mais informações no link <https://fiocruz.br/pergunta/uma-melhor-higiene-e-acesso-saneamento-basico-tornam-vacinas-desnecessarias>.",Informações Gerais,0,1,0,0,14.55,factual_correctness(mode=f1),0.7,ragas
A medcação destinada ao tratamento da pressão alta é distribuída se custo?,"Sim, os medicamentos para tratamento da pressão alta que fazem parte do Programa Farmácia Popular são distribuídos gratuitamente à população, conforme a política de gratuidade total para os itens listados pelo programa.

Se quiser saber quais medicamentos estão disponíveis ou como retirar, posso detalhar mais informações. Gostaria de saber mais sobre o funcionamento do Programa Farmácia Popular ou sobre outros benefícios?","Sim. Os medicamentos de hipertensão que integram o elenco do Programa são gratuitos para a população, dentro da regra vigente de 100% de gratuidade dos itens do Farmácia Popular. O elenco atual inclui, entre outros, atenolol, anlodipino, captopril, propranolol, hidroclorotiazida, losartana, enalapril, espironolactona, furosemida e succinato de metoprolol.",Elenco de Medicamentos e Patologias,0,1,1,0,15.22,factual_correctness(mode=f1),0.4,ragas
